actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
97,Denise,True,Premium,Middle Aged,French (France),France,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/5563537f-ec87-49ec-a136-50ab7d6dc253.mp3
98,Henri,False,Premium,Middle Aged,French (France),France,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/665f5aea-7639-4da3-bf49-89face1cb242.mp3
99,Colm,False,Premium,Middle Aged,Irish (Ireland),Ireland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/82216ca7-4068-463d-a308-3162d31fd36c.mp3
100,Orla,True,Premium,Middle Aged,Irish (Ireland),Ireland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/a4fb2773-9b58-47eb-84b5-41e1999d6a09.mp3
101,Dhwani,True,Premium,Middle Aged,Gujarati (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/09121fc9-f1b7-4de7-90f4-c16f82e72045.mp3
102,NiRanja,False,Premium,Middle Aged,Gujarati (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/7803dc97-2ae3-4e54-a60b-7c842cb50b4d.mp3
103,Madhur,False,Premium,Middle Aged,Hindi (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/0b8f602e-2f26-4714-88c2-1d321cf43a7b.mp3
104,Swara,True,Premium,Middle Aged,Hindi (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/56ed63d1-6df7-4c50-be36-68e430655239.mp3
105,Srecko,False,Premium,Middle Aged,Croatian (Croatia),Croatia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/7fc6dc5a-3f18-47fc-ac04-cf89a01060ce.mp3
106,Noemi,True,Premium,Middle Aged,Hungarian (Hungary),Hungary,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/e52a408f-37e1-4a7f-9037-94f6bd5d70a2.mp3
107,Tamas,False,Premium,Middle Aged,Hungarian (Hungary),Hungary,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/cb98701d-61a4-4435-abc5-5a8681c6675a.mp3
